,date,geography,avg_price,units_4046,units_4225,units_4770,s_bags,l_bags,xl_bags
0,2018-01-07,Albany,1.13,2940.63,76192.61,42.63,8633.09,10707.93,23.33
2,2018-01-07,Atlanta,0.98,364463.12,47869.41,1459.65,217644.43,78287.66,4191.53
4,2018-01-07,Baltimore/Washington,1.5,89883.07,466602.79,4167.07,189304.53,21356.32,0.0
6,2018-01-07,Boise,1.3,45936.53,2658.28,7511.15,21784.14,7752.83,54.72
8,2018-01-07,Boston,1.28,12012.96,557314.83,4961.24,58834.32,52294.16,0.0
10,2018-01-07,Buffalo/Rochester,1.28,8645.3,92302.56,56.67,12248.04,48624.19,0.0
14,2018-01-07,Charlotte,1.36,69157.01,80320.79,4915.1,84280.34,4627.84,0.0
16,2018-01-07,Chicago,1.5,132853.21,475772.58,139314.8,85019.84,9161.86,19.13
18,2018-01-07,Cincinnati/Dayton,0.91,98045.53,37713.62,18889.29,130642.78,18046.8,254.9
20,2018-01-07,Columbus,0.84,112638.98,32262.19,4167.93,89971.36,17360.9,356.24
22,2018-01-07,Dallas/FtWorth,0.92,587439.51,258369.66,5543.59,183640.29,104915.08,302.25
24,2018-01-07,Denver,1.01,184830.15,292349.16,14102.19,112396.9,360171.35,0.0
26,2018-01-07,Detroit,0.92,164665.38,81248.88,23315.8,195595.55,45090.53,2226.82
28,2018-01-07,GrandRapids,1.35,2865.76,75494.46,45133.04,29085.45,3455.76,13441.57
30,2018-01-07,GreatLakes,1.11,1112028.17,1238992.5,350648.99,1154910.93,230241.31,36282.93
32,2018-01-07,Harrisburg/Scranton,1.33,57546.66,128633.39,70.97,57822.58,13207.78,0.0
34,2018-01-07,Hartford/Springfield,1.52,5732.13,214934.82,136.28,49441.07,13434.58,0.0
36,2018-01-07,Houston,0.8,658828.73,171364.98,3656.03,446637.02,110130.07,0.0
38,2018-01-07,Indianapolis,0.95,77536.48,52880.27,15323.48,88828.8,6694.44,32.58
40,2018-01-07,Jacksonville,1.2,116008.83,13934.03,395.16,26811.45,40448.82,321.11
42,2018-01-07,LasVegas,1.05,78921.42,113033.07,7515.77,60836.42,85049.33,453.33
44,2018-01-07,LosAngeles,1.04,1275098.12,354221.03,91230.73,940327.03,18317.46,46662.07
46,2018-01-07,Louisville,1.0,29241.59,37772.39,170.77,32655.63,19115.6,2.82
48,2018-01-07,Miami/FtLauderdale,1.22,513398.84,68558.71,1946.21,75200.98,87798.42,0.0
52,2018-01-07,Nashville,0.85,167628.98,10026.09,409.67,108075.96,16240.96,1581.52
54,2018-01-07,NewOrleans/Mobile,1.15,183343.94,30856.25,2514.49,64892.6,13346.17,987.78
56,2018-01-07,NewYork,1.67,39884.07,866953.05,573.69,348249.49,31820.01,0.0
60,2018-01-07,NorthernNewEngland,1.17,10284.45,394541.74,4357.02,23938.29,69729.64,0.0
62,2018-01-07,Orlando,1.19,288886.48,34311.29,997.66,65277.02,41293.52,0.0
64,2018-01-07,Philadelphia,1.56,22384.92,239185.79,407.29,114764.69,31460.8,0.0
66,2018-01-07,Phoenix/Tucson,0.89,470698.28,222151.2,14761.13,178186.6,134615.38,4900.0
68,2018-01-07,Pittsburgh,1.3,40579.4,24117.63,1241.27,36998.3,7993.17,0.0
70,2018-01-07,Plains,1.17,1026303.18,570087.19,6096.19,384809.96,116197.07,38.13
72,2018-01-07,Portland,1.22,107127.71,220686.01,14535.35,156850.43,67977.85,310.66
74,2018-01-07,Raleigh/Greensboro,1.3,113445.48,103827.25,5071.98,90848.07,4017.12,0.0
76,2018-01-07,Richmond/Norfolk,1.03,96040.45,94172.95,1657.28,99730.22,8633.89,0.0
78,2018-01-07,Roanoke,0.93,57981.46,48543.26,161.75,80678.76,16101.64,15.97
80,2018-01-07,Sacramento,1.35,159862.75,247999.0,1045.98,49386.35,522.37,6291.89
82,2018-01-07,SanDiego,1.18,192510.16,118483.12,19625.38,125040.09,6169.89,2892.22
84,2018-01-07,SanFrancisco,1.46,209267.23,466935.74,2525.01,136440.18,104.56,2813.53
86,2018-01-07,Seattle,1.43,116665.02,133127.64,1132.42,164408.65,58738.83,232.59
88,2018-01-07,SouthCarolina,1.19,201490.47,64214.46,3089.49,104998.57,26809.64,2316.66
90,2018-01-07,SouthCentral,0.9,3191091.1,1064902.97,24586.38,1373791.28,493580.0,780.46
94,2018-01-07,Spokane,1.18,27224.55,21852.06,487.93,27270.42,8169.06,23.87
96,2018-01-07,StLouis,1.34,93054.39,13758.41,541.05,53120.31,11395.78,0.0
98,2018-01-07,Syracuse,1.21,3687.73,46420.2,60.09,5075.27,13694.73,0.0
100,2018-01-07,Tampa,1.2,317536.23,44226.34,1046.81,68969.54,52215.66,13.33
106,2018-01-07,WestTex/NewMexico,0.88,436282.38,178669.53,9467.11,99686.92,155870.58,290.0
108,2018-01-14,Albany,1.42,2897.41,76570.67,44.0,10012.8,5721.5,0.0
110,2018-01-14,Atlanta,1.1,298975.97,60229.21,1604.9,171508.47,134436.39,4011.1
112,2018-01-14,Baltimore/Washington,1.49,91785.6,485963.15,4234.82,212956.99,4783.0,3.33
114,2018-01-14,Boise,1.15,49335.23,7414.97,8298.95,19135.96,26830.36,97.64
116,2018-01-14,Boston,1.49,10669.09,393026.08,2533.63,81610.31,45311.38,0.0
118,2018-01-14,Buffalo/Rochester,1.32,8239.41,80916.85,40.26,27693.23,42180.9,0.0
122,2018-01-14,Charlotte,1.38,60751.23,97094.95,5512.27,82964.19,4937.9,0.0
124,2018-01-14,Chicago,1.64,82376.44,440322.05,134141.55,93374.57,12782.92,0.0
126,2018-01-14,Cincinnati/Dayton,1.15,59620.01,30542.73,19975.22,123961.02,9260.42,6.73
128,2018-01-14,Columbus,1.07,77236.77,24462.37,3266.68,75499.35,14125.61,28.53
130,2018-01-14,Dallas/FtWorth,0.93,677477.52,316020.36,7862.07,240134.19,91381.56,304.98
132,2018-01-14,Denver,1.1,178992.28,323916.08,11963.62,121454.8,366815.69,0.0
134,2018-01-14,Detroit,1.18,94963.97,60826.16,13812.28,162745.09,36032.53,1248.07
136,2018-01-14,GrandRapids,1.63,2444.54,60928.74,30487.47,27912.73,1824.11,9119.06
138,2018-01-14,GreatLakes,1.31,778207.19,1040627.93,294793.29,1117531.11,183163.55,23240.2
140,2018-01-14,Harrisburg/Scranton,1.25,80067.78,121405.45,189.01,62453.61,13500.86,0.0
142,2018-01-14,Hartford/Springfield,1.53,6006.14,215891.85,128.82,60219.1,6878.4,0.0
144,2018-01-14,Houston,0.95,548774.22,292561.6,6066.33,355573.55,113294.7,76.67
146,2018-01-14,Indianapolis,1.2,42103.61,39886.19,14213.38,87576.92,4431.35,19.94
148,2018-01-14,Jacksonville,1.41,105265.46,11039.81,332.17,30382.8,34981.97,387.78
150,2018-01-14,LasVegas,1.16,79986.22,96281.04,7841.07,71330.43,67126.63,366.67
152,2018-01-14,LosAngeles,1.28,1104367.71,403918.08,101443.02,739977.4,16783.17,42670.22
154,2018-01-14,Louisville,1.15,12826.43,44061.69,168.9,32059.16,32693.81,2.82
156,2018-01-14,Miami/FtLauderdale,1.46,416705.54,53783.64,2713.93,81480.75,63228.55,0.0
160,2018-01-14,Nashville,1.04,131981.77,22212.81,355.01,97153.34,38004.65,1613.33
162,2018-01-14,NewOrleans/Mobile,1.15,170097.6,22912.24,2542.0,76659.09,17342.95,1017.78
164,2018-01-14,NewYork,1.67,39681.84,818051.5,1338.06,415694.04,19384.27,0.0
168,2018-01-14,NorthernNewEngland,1.42,11067.05,322712.21,2011.52,29827.25,53758.59,0.0
170,2018-01-14,Orlando,1.4,258150.99,26672.33,1199.66,68412.96,33152.53,0.0
172,2018-01-14,Philadelphia,1.5,36351.3,232190.19,443.69,126685.84,23512.81,5.53
174,2018-01-14,Phoenix/Tucson,0.81,628591.78,284087.44,15249.83,200603.91,221593.36,4786.66
176,2018-01-14,Pittsburgh,1.3,40292.71,22648.55,1560.23,42859.85,10122.48,0.0
178,2018-01-14,Plains,1.25,891358.6,572445.19,6526.08,436555.79,126910.37,27.78
180,2018-01-14,Portland,1.06,76227.53,252457.95,17693.46,99618.49,300591.83,1274.92
182,2018-01-14,Raleigh/Greensboro,1.29,88430.39,138123.95,6178.1,119713.01,8326.87,0.0
184,2018-01-14,Richmond/Norfolk,1.19,76364.47,126208.57,1844.45,84944.73,21823.43,0.0
186,2018-01-14,Roanoke,1.09,35632.0,58767.29,184.49,62260.15,32827.64,0.0
188,2018-01-14,Sacramento,1.31,144109.69,299605.5,1249.15,52486.47,754.65,6063.77
190,2018-01-14,SanDiego,1.41,160896.99,136499.29,21680.72,113513.51,4689.39,2372.22
192,2018-01-14,SanFrancisco,1.21,193892.28,785766.05,2860.37,130904.76,944.69,3008.84
194,2018-01-14,Seattle,1.26,109322.06,214002.35,1034.16,136005.01,248487.47,1052.08
196,2018-01-14,SouthCarolina,1.24,190128.64,82399.03,3424.35,105934.11,39865.79,2167.76
198,2018-01-14,SouthCentral,0.96,3135720.11,1470455.24,34008.03,1368263.33,505121.44,873.55
202,2018-01-14,Spokane,1.2,25067.66,30621.77,483.2,22425.95,23850.96,88.41
204,2018-01-14,StLouis,1.36,76981.79,12192.94,419.29,65370.95,16227.52,0.0
206,2018-01-14,Syracuse,1.31,3452.94,45825.51,72.86,14827.72,15188.49,0.0
208,2018-01-14,Tampa,1.41,286535.45,36727.96,1153.0,76263.43,45949.71,0.0
214,2018-01-14,WestTex/NewMexico,0.9,463945.73,188126.02,11227.47,125408.69,162040.02,206.67
216,2018-01-21,Albany,1.69,3133.37,116520.88,88.78,10023.79,5429.53,0.0
218,2018-01-21,Atlanta,1.1,288131.95,56731.74,1612.56,158655.8,128969.24,5320.0
220,2018-01-21,Baltimore/Washington,1.18,129351.87,659069.49,4321.42,304382.22,5088.13,0.0
222,2018-01-21,Boise,1.25,49711.32,2157.11,6343.03,22463.22,8026.61,26.48
224,2018-01-21,Boston,1.12,15177.93,865836.92,6492.83,85468.78,26806.67,0.0
226,2018-01-21,Buffalo/Rochester,1.29,8269.77,75965.53,61.69,26340.41,51249.87,0.0
230,2018-01-21,Charlotte,1.11,74246.57,80371.21,4657.83,165016.97,7031.3,1.11
232,2018-01-21,Chicago,1.42,110759.53,473797.46,154585.97,79124.15,133370.44,10.56
234,2018-01-21,Cincinnati/Dayton,0.89,92142.87,54830.94,12823.81,148818.14,13170.73,22.81
236,2018-01-21,Columbus,0.99,75486.73,52395.54,4298.3,63261.5,18897.31,13.64
238,2018-01-21,Dallas/FtWorth,0.85,728035.0,216211.98,6291.83,410340.65,76287.17,72.46
240,2018-01-21,Denver,1.16,147297.68,233968.98,14834.26,101867.53,374703.83,1.11
242,2018-01-21,Detroit,0.96,87365.29,220100.47,46163.59,146574.63,65171.17,4786.8
244,2018-01-21,GrandRapids,1.01,2991.23,143928.98,137321.51,23516.4,1183.72,40623.22
246,2018-01-21,GreatLakes,1.08,939693.95,1678615.71,599358.14,1091946.07,411120.89,103851.41
248,2018-01-21,Harrisburg/Scranton,1.14,125847.54,136876.39,168.16,79398.89,3142.53,3.33
250,2018-01-21,Hartford/Springfield,1.18,8065.55,407711.57,175.38,56135.81,2459.57,6.67
252,2018-01-21,Houston,0.78,651432.75,153445.45,10598.32,683790.27,85149.77,0.0
254,2018-01-21,Indianapolis,1.03,62385.12,66055.88,11433.91,84064.64,9782.65,9.96
256,2018-01-21,Jacksonville,1.14,137389.34,14033.79,444.84,34372.62,44668.89,375.56
258,2018-01-21,LasVegas,1.05,78984.26,100813.61,6256.28,69513.95,108140.51,446.67
260,2018-01-21,LosAngeles,1.15,1230413.83,364552.16,82843.86,918833.2,16789.91,39590.27
262,2018-01-21,Louisville,1.07,9137.72,48370.29,699.18,34517.5,26442.49,0.0
264,2018-01-21,Miami/FtLauderdale,1.19,592863.38,79364.06,1920.89,84785.47,66902.12,0.0
268,2018-01-21,Nashville,1.0,118667.23,20388.24,309.67,95967.09,36876.95,1264.44
270,2018-01-21,NewOrleans/Mobile,1.04,192632.7,23240.42,2212.37,79583.19,11776.55,1142.23
272,2018-01-21,NewYork,1.27,46444.43,1642533.16,1165.1,423570.05,21523.99,6.03
276,2018-01-21,NorthernNewEngland,1.33,11506.29,492832.55,3776.0,27451.21,41550.17,0.0
278,2018-01-21,Orlando,1.16,312991.46,36478.07,1521.7,72049.51,59856.21,7.79
280,2018-01-21,Philadelphia,1.32,69862.88,303263.33,383.99,144550.12,9797.01,2.76
282,2018-01-21,Phoenix/Tucson,0.78,613600.56,246703.53,13332.26,210780.39,226079.75,4833.34
284,2018-01-21,Pittsburgh,1.01,83017.19,32323.3,2721.64,36503.46,28781.78,0.0
286,2018-01-21,Plains,1.18,1051836.46,479599.9,7659.28,562989.08,106461.22,50.18
288,2018-01-21,Portland,1.17,76804.75,271528.75,18147.81,150749.79,90544.14,384.21
290,2018-01-21,Raleigh/Greensboro,1.12,101929.83,102790.68,4632.9,191459.41,7012.18,0.0
292,2018-01-21,Richmond/Norfolk,1.12,72502.51,112843.42,1772.99,112298.65,22855.4,0.0
294,2018-01-21,Roanoke,1.11,32866.66,52406.08,271.62,61172.35,29271.28,13.33
296,2018-01-21,Sacramento,1.15,160917.18,362263.89,1136.97,60172.16,1674.44,5046.73
298,2018-01-21,SanDiego,1.26,192219.39,122174.21,17624.92,121675.53,4729.22,2285.55
300,2018-01-21,SanFrancisco,1.01,259497.05,919666.37,2578.69,117863.67,80.08,2247.09
302,2018-01-21,Seattle,1.31,125236.3,202783.51,754.76,138209.77,133100.87,584.57
304,2018-01-21,SouthCarolina,1.1,234534.94,77898.32,3486.87,138219.59,49325.5,2788.89
306,2018-01-21,SouthCentral,0.86,3429393.15,931790.87,36818.11,2311921.49,418189.88,333.25
310,2018-01-21,Spokane,1.07,24435.65,33395.51,517.34,22478.8,24044.51,133.45
312,2018-01-21,StLouis,1.05,98471.49,7427.5,582.75,123950.8,26817.66,0.0
314,2018-01-21,Syracuse,1.45,3424.37,55184.65,81.92,11894.14,14409.78,0.0
316,2018-01-21,Tampa,1.17,375284.99,50138.85,1076.25,76281.04,74392.16,0.0
322,2018-01-21,WestTex/NewMexico,0.84,505263.29,177911.4,9468.95,118978.5,209131.06,160.0
324,2018-01-28,Albany,1.57,3101.17,74627.23,55.59,11614.79,4159.58,66.67
326,2018-01-28,Atlanta,1.08,267126.26,37573.74,1661.8,165156.6,83774.26,4167.78
328,2018-01-28,Baltimore/Washington,1.12,115283.7,805041.45,4257.45,225931.13,2019.02,6.67
330,2018-01-28,Boise,1.12,66653.8,1971.68,6961.61,20717.06,8682.47,38.83
332,2018-01-28,Boston,1.22,14384.54,680080.04,2656.9,77511.92,25561.0,80.0
334,2018-01-28,Buffalo/Rochester,1.27,8099.96,76070.49,96.23,12060.74,62156.06,154.44
338,2018-01-28,Charlotte,1.37,68666.93,79639.9,4802.79,89456.12,5327.39,0.0
340,2018-01-28,Chicago,1.36,108233.69,515116.55,124271.04,79871.28,120462.37,13.54
342,2018-01-28,Cincinnati/Dayton,0.92,78131.98,27858.19,11786.66,155062.73,9071.23,2.7
344,2018-01-28,Columbus,1.03,60555.62,23671.37,3175.28,83156.44,16932.05,32.44
346,2018-01-28,Dallas/FtWorth,0.82,781164.88,187033.59,5596.69,378776.69,80095.8,427.71
348,2018-01-28,Denver,1.15,181751.78,215803.07,9803.85,111320.37,254537.95,1.11
350,2018-01-28,Detroit,1.14,80917.0,70055.35,14554.29,177720.43,23023.66,1185.32
352,2018-01-28,GrandRapids,1.55,2937.98,86845.82,30069.97,31880.77,1661.64,9278.37
354,2018-01-28,GreatLakes,1.18,818434.82,1243174.16,259671.42,1200021.74,312985.52,22974.48
356,2018-01-28,Harrisburg/Scranton,1.15,101247.63,112796.55,129.6,84111.58,447.33,336.67
358,2018-01-28,Hartford/Springfield,1.18,7854.32,360244.35,237.31,60495.46,3601.99,166.67
360,2018-01-28,Houston,0.71,832418.81,103716.17,17666.27,609576.26,84377.48,103.33
362,2018-01-28,Indianapolis,0.92,64276.57,83870.54,8592.12,93966.39,14884.55,10.03
364,2018-01-28,Jacksonville,1.33,103226.13,11072.2,397.94,40095.88,33517.75,246.67
366,2018-01-28,LasVegas,1.04,70883.01,109999.79,5322.27,82587.72,78955.87,404.63
368,2018-01-28,LosAngeles,1.08,1134192.09,707838.42,81296.65,911703.94,16595.96,42090.91
370,2018-01-28,Louisville,1.18,9754.12,34513.14,262.76,31382.0,20628.88,5.66
372,2018-01-28,Miami/FtLauderdale,1.4,440406.44,54463.83,2465.91,95377.39,68491.98,6.67
376,2018-01-28,Nashville,1.08,103525.83,11727.15,500.49,79909.39,24040.98,1570.0
378,2018-01-28,NewOrleans/Mobile,1.08,198062.3,21726.15,2409.57,81430.82,10352.92,933.33
380,2018-01-28,NewYork,1.2,82652.82,1501055.47,745.5,675215.26,18491.86,567.78
384,2018-01-28,NorthernNewEngland,1.44,11731.68,360982.52,1920.26,31388.47,35837.4,116.67
386,2018-01-28,Orlando,1.35,262391.05,28265.08,1290.4,75243.3,47547.96,43.33
388,2018-01-28,Philadelphia,1.23,90381.5,256525.12,390.07,183977.34,6289.85,320.0
390,2018-01-28,Phoenix/Tucson,0.68,902410.41,288508.97,12312.08,235248.48,147958.47,5698.89
392,2018-01-28,Pittsburgh,1.23,37562.68,19312.87,1415.85,42492.34,18822.61,0.0
394,2018-01-28,Plains,0.99,1387712.4,515698.93,6371.3,474701.92,149437.52,15.49
396,2018-01-28,Portland,1.34,80881.12,152913.11,16678.38,142712.01,92874.02,621.34
398,2018-01-28,Raleigh/Greensboro,1.34,93956.4,105608.44,5131.66,112705.62,4946.6,0.0
400,2018-01-28,Richmond/Norfolk,1.21,63753.71,104053.12,1743.34,87331.26,10414.48,10.0
402,2018-01-28,Roanoke,1.14,31259.73,49375.92,283.44,61701.01,16669.08,0.0
404,2018-01-28,Sacramento,1.32,158788.12,233834.71,1129.27,67847.8,1197.57,6117.91
406,2018-01-28,SanDiego,1.07,168171.75,256042.84,16669.82,118366.92,4446.82,2436.66
408,2018-01-28,SanFrancisco,1.38,246496.88,418612.3,2588.33,150232.81,402.62,3019.11
410,2018-01-28,Seattle,1.34,125676.32,178484.53,599.03,136634.87,106746.35,445.97
412,2018-01-28,SouthCarolina,1.22,209197.71,72212.81,3511.52,109267.86,38526.25,2774.45
414,2018-01-28,SouthCentral,0.82,3754423.75,780891.92,46906.91,2119296.19,408000.54,1321.68
418,2018-01-28,Spokane,1.16,25211.46,28636.94,406.68,23389.62,10519.31,33.74
420,2018-01-28,StLouis,1.24,97083.74,7111.09,464.04,81101.21,22724.31,0.0
422,2018-01-28,Syracuse,1.34,3345.87,42297.35,62.85,5723.16,21890.92,0.0
424,2018-01-28,Tampa,1.36,294233.52,36783.53,958.61,77554.08,51622.97,26.67
430,2018-01-28,WestTex/NewMexico,0.85,479147.93,179489.19,7314.98,143430.96,147376.43,326.67
432,2018-02-04,Albany,1.03,7625.65,195725.06,143.53,10571.6,2422.63,250.0
434,2018-02-04,Atlanta,0.86,474887.68,55158.13,1755.05,292317.81,131566.04,2107.36
436,2018-02-04,Baltimore/Washington,1.12,139312.12,708495.55,5611.56,369085.25,2512.13,86.66
438,2018-02-04,Boise,1.07,39582.33,8511.49,22490.26,17470.72,40491.57,155.78
440,2018-02-04,Boston,1.39,21309.4,566751.03,3293.87,98025.22,36068.02,486.67
442,2018-02-04,Buffalo/Rochester,1.32,13478.37,99364.48,84.19,14935.4,60228.7,563.33
446,2018-02-04,Charlotte,0.99,86708.74,99117.46,6476.93,208289.93,10567.88,0.0
448,2018-02-04,Chicago,0.88,257095.68,1235325.42,158735.41,91953.59,59112.77,423.48
450,2018-02-04,Cincinnati/Dayton,0.76,102019.45,67966.25,13825.01,165544.38,29548.07,1311.58
452,2018-02-04,Columbus,0.73,108554.97,61748.67,5329.61,117614.03,39927.3,223.71
454,2018-02-04,Dallas/FtWorth,0.67,855815.37,340887.07,6655.47,583353.2,86725.24,11965.09
456,2018-02-04,Denver,0.87,234985.26,468889.32,11698.36,88502.27,577453.53,0.0
458,2018-02-04,Detroit,0.67,167512.7,287359.89,60027.97,266930.49,89516.48,9192.92
460,2018-02-04,GrandRapids,0.88,4371.02,193222.08,143538.35,22315.79,1765.51,43708.82
462,2018-02-04,GreatLakes,0.81,1410647.88,2875747.93,667141.61,1436877.51,573049.04,131300.76
464,2018-02-04,Harrisburg/Scranton,1.16,92062.94,211176.35,157.51,89502.17,1977.41,796.67
466,2018-02-04,Hartford/Springfield,1.38,11605.62,345582.17,1100.67,67967.4,1438.65,256.2
468,2018-02-04,Houston,0.56,952746.89,300383.28,7990.32,1010539.42,109978.24,104.44
470,2018-02-04,Indianapolis,0.79,90305.67,110035.27,12010.66,95765.52,25974.12,1351.17
472,2018-02-04,Jacksonville,0.96,206007.07,24133.66,480.95,79274.34,55614.6,126.67
474,2018-02-04,LasVegas,0.88,80027.98,212174.53,6000.36,82603.57,131899.62,276.67
476,2018-02-04,LosAngeles,0.73,2532500.54,965716.73,93806.56,1414064.63,21441.6,43050.5
478,2018-02-04,Louisville,0.84,37164.18,52978.0,805.93,51038.21,27458.2,384.25
480,2018-02-04,Miami/FtLauderdale,0.98,897435.51,118495.93,2277.74,111637.21,180761.79,63.33
484,2018-02-04,Nashville,0.8,186689.66,15471.74,466.2,141976.99,45308.77,1866.89
486,2018-02-04,NewOrleans/Mobile,0.76,352425.87,40674.51,2373.28,114300.77,11056.46,353.33
488,2018-02-04,NewYork,1.28,96084.63,2250967.25,3253.28,569361.35,38734.78,1140.09
492,2018-02-04,NorthernNewEngland,1.06,22674.34,754096.71,2247.4,34218.15,33787.99,236.66
494,2018-02-04,Orlando,0.99,511953.91,60712.96,1345.0,88148.1,97195.73,176.67
496,2018-02-04,Philadelphia,1.12,62044.22,467927.8,645.87,254149.59,33540.82,916.0
498,2018-02-04,Phoenix/Tucson,0.59,1029017.42,511201.78,13917.11,236056.82,202720.67,5346.67
500,2018-02-04,Pittsburgh,0.98,78189.91,30466.23,2684.22,38743.07,52514.24,6.67
502,2018-02-04,Plains,0.91,1609104.94,827998.81,9830.1,678696.23,190573.14,291.54
504,2018-02-04,Portland,0.88,78861.85,452243.28,15405.98,111755.8,391141.49,1630.86
506,2018-02-04,Raleigh/Greensboro,0.97,119688.78,132891.28,5891.9,254234.83,12368.63,0.0
508,2018-02-04,Richmond/Norfolk,0.86,124229.81,128208.07,2217.45,187621.35,26710.36,106.67
510,2018-02-04,Roanoke,0.82,82020.39,55243.26,294.67,116918.04,32938.52,313.37
512,2018-02-04,Sacramento,0.86,262795.28,518775.3,1051.29,71669.96,1595.61,6449.66
514,2018-02-04,SanDiego,0.88,311038.84,318396.18,23719.23,193681.96,8547.66,2717.78
516,2018-02-04,SanFrancisco,0.84,459981.14,1113987.54,2886.78,126171.02,282.38,2942.19
518,2018-02-04,Seattle,1.04,189717.79,289707.88,853.2,115360.8,312387.51,1100.42
520,2018-02-04,SouthCarolina,0.96,304189.26,97949.8,4065.74,200563.64,68207.94,3258.89
522,2018-02-04,SouthCentral,0.65,4772921.95,1623613.82,38521.35,3351508.25,508738.57,27870.65
526,2018-02-04,Spokane,0.98,36203.06,49563.73,560.55,21807.59,33030.13,197.71
528,2018-02-04,StLouis,0.9,174119.26,7272.61,456.41,114234.23,26591.13,0.0
530,2018-02-04,Syracuse,1.15,5795.04,77127.19,87.42,7708.12,22305.58,0.0
532,2018-02-04,Tampa,0.98,564685.19,79267.58,1096.9,91618.58,116804.65,170.0
538,2018-02-04,WestTex/NewMexico,0.76,531469.08,368948.26,13078.2,127833.03,229786.03,925.2
540,2018-02-11,Albany,1.45,8183.48,95548.47,61.0,13264.91,4295.39,451.11
542,2018-02-11,Atlanta,0.87,349354.58,39349.47,1608.23,241870.49,89401.42,2344.19
544,2018-02-11,Baltimore/Washington,1.41,112222.95,545365.67,4700.52,233808.41,4287.5,173.33
546,2018-02-11,Boise,1.14,48308.72,2816.31,10558.83,19862.62,11540.14,19.65
548,2018-02-11,Boston,1.3,23220.89,703749.06,6620.69,86124.35,13366.2,1223.33
550,2018-02-11,Buffalo/Rochester,1.27,12749.59,74595.11,84.21,41236.05,21391.46,1001.11
554,2018-02-11,Charlotte,1.18,69727.98,67904.5,5261.66,113041.82,6197.75,0.0
556,2018-02-11,Chicago,1.39,131360.75,488374.4,154223.75,85210.17,37063.73,945.56
558,2018-02-11,Cincinnati/Dayton,0.8,98065.66,31216.87,11211.24,124062.8,34478.97,6364.87
560,2018-02-11,Columbus,0.82,79239.58,26356.05,2998.74,73393.34,34338.97,2003.02
562,2018-02-11,Dallas/FtWorth,0.72,768415.85,212945.5,5327.13,461849.3,87861.7,17004.68
564,2018-02-11,Denver,0.91,234995.54,251174.58,13754.34,86599.13,469530.82,0.0
566,2018-02-11,Detroit,0.92,123642.25,73381.42,26265.23,156008.05,42872.58,13214.92
568,2018-02-11,GrandRapids,1.4,3619.4,80530.3,42489.31,25201.76,2735.5,13028.33
570,2018-02-11,GreatLakes,1.05,998859.86,1221482.58,336456.51,1080233.43,398603.44,68396.11
572,2018-02-11,Harrisburg/Scranton,1.09,77585.95,165153.24,116.39,72248.7,4766.58,1497.78
574,2018-02-11,Hartford/Springfield,1.48,14675.9,270215.97,208.1,65856.28,744.47,1031.11
576,2018-02-11,Houston,0.58,801390.67,156458.96,4407.32,747968.17,160355.16,294.44
578,2018-02-11,Indianapolis,0.81,86439.93,52397.39,5258.07,90091.1,21306.88,2514.64
580,2018-02-11,Jacksonville,0.99,134245.82,14759.96,521.63,34342.57,50597.3,90.0
582,2018-02-11,LasVegas,0.9,89138.42,145487.36,5018.6,71692.87,122026.15,446.44
584,2018-02-11,LosAngeles,0.85,1497227.27,412653.41,79663.02,1271672.84,20164.55,42501.29
586,2018-02-11,Louisville,0.87,37508.86,30307.97,307.16,42692.52,19050.04,700.0
588,2018-02-11,Miami/FtLauderdale,1.0,580099.01,76468.67,2153.49,106427.69,90813.63,60.0
592,2018-02-11,Nashville,0.8,149429.09,10869.53,363.33,107936.13,33522.21,1707.47
594,2018-02-11,NewOrleans/Mobile,0.97,174271.9,18425.78,1971.0,82271.42,12267.43,320.0
596,2018-02-11,NewYork,1.27,169218.18,1319012.42,1222.29,539237.71,21409.81,1289.58
600,2018-02-11,NorthernNewEngland,1.11,19640.0,512849.57,3564.09,35046.08,45221.71,1154.44
602,2018-02-11,Orlando,1.0,346562.74,36818.09,1200.04,74552.03,57051.8,220.0
604,2018-02-11,Philadelphia,1.02,130162.76,320845.9,213.8,136379.5,22296.32,1371.06
606,2018-02-11,Phoenix/Tucson,0.64,793896.21,256987.03,12607.4,241681.63,179607.48,5932.22
608,2018-02-11,Pittsburgh,1.22,33543.27,21090.24,1094.97,37660.14,23490.23,3.33
610,2018-02-11,Plains,1.06,957709.32,540048.54,6998.12,526134.96,167565.02,541.2
612,2018-02-11,Portland,1.25,87666.45,146006.56,17712.54,156038.59,99378.83,530.5
614,2018-02-11,Raleigh/Greensboro,1.1,106372.21,91013.42,5010.88,156789.32,8718.05,0.0
616,2018-02-11,Richmond/Norfolk,1.01,73304.78,95360.46,1648.41,107274.6,14805.83,348.34
618,2018-02-11,Roanoke,0.85,54069.78,44325.77,286.59,87195.47,21390.71,390.0
620,2018-02-11,Sacramento,1.07,193066.47,282308.93,1180.54,70403.14,1800.9,5838.17
622,2018-02-11,SanDiego,0.93,222366.32,136214.59,16577.9,175708.38,5873.73,2185.55
624,2018-02-11,SanFrancisco,1.32,267695.96,405148.34,3199.77,144064.49,120.38,2857.92
626,2018-02-11,Seattle,1.4,98161.81,129399.46,631.78,136973.79,103420.83,348.36
628,2018-02-11,SouthCarolina,1.05,213633.63,65654.71,3577.01,126052.2,40667.08,3220.92
